"","donorURI","time","amount","comment","run"
"13498","/tracker/donor/320683/18",2016-07-08 13:22:21,5,"Yes","Super Mario Bros. 3 100%"
"13499","/tracker/donor/298916/18",2016-07-08 13:22:04,50,"Yes","Super Mario Bros. 3 100%"
"13500","/tracker/donor/4906/18",2016-07-08 13:21:52,50,"Yes","Super Mario Bros. 3 100%"
"13501","/tracker/donor/323497/18",2016-07-08 15:59:58,10,"Yes","Mega Man X3 100%"
"13502","/tracker/donor/323499/18",2016-07-08 15:59:54,10,"Yes","Mega Man X3 100%"
"13503","/tracker/donor/323498/18",2016-07-08 15:59:39,10,"Yes","Mega Man X3 100%"
"13504","/tracker/donor/318172/18",2016-07-08 15:59:36,10,"Yes","Mega Man X3 100%"
"13505","/tracker/donor/22886/18",2016-07-08 15:59:05,20,"Yes","Mega Man X3 100%"
"13506","/tracker/donor/32207/18",2016-07-08 15:58:36,50,"Yes","Mega Man X3 100%"
"13507","/tracker/donor/323494/18",2016-07-08 15:58:24,5,"Yes","Mega Man X3 100%"
"13508",NA,2016-07-08 15:58:19,10,"Yes","Mega Man X3 100%"
"13509","/tracker/donor/291886/18",2016-07-08 15:57:58,25,"Yes","Mega Man X3 100%"
"13510","/tracker/donor/43232/18",2016-07-08 15:57:12,5,"Yes","Mega Man X3 100%"
"13511",NA,2016-07-08 15:57:00,40,"Yes","Mega Man X3 100%"
"13512","/tracker/donor/323493/18",2016-07-08 15:56:51,5,"Yes","Mega Man X3 100%"
"13513",NA,2016-07-08 15:56:44,10,"Yes","Mega Man X3 100%"
"13514","/tracker/donor/33665/18",2016-07-08 15:56:26,150,"Yes","Mega Man X3 100%"
"13515","/tracker/donor/323490/18",2016-07-08 15:56:18,5,"Yes","Mega Man X3 100%"
"13516","/tracker/donor/316978/18",2016-07-08 15:56:08,50,"Yes","Mega Man X3 100%"
"13517","/tracker/donor/263600/18",2016-07-08 15:55:57,10,"Yes","Mega Man X3 100%"
"13518","/tracker/donor/323489/18",2016-07-08 15:55:54,10,"Yes","Mega Man X3 100%"
"13519","/tracker/donor/16053/18",2016-07-08 15:55:53,250,"Yes","Mega Man X3 100%"
"13520","/tracker/donor/22311/18",2016-07-08 15:55:43,100,"Yes","Mega Man X3 100%"
"13521","/tracker/donor/323496/18",2016-07-08 15:54:42,10,"Yes","Mega Man X3 100%"
"13522","/tracker/donor/25624/18",2016-07-08 15:54:24,20,"Yes","Mega Man X3 100%"
"13523",NA,2016-07-08 15:54:18,50.01,"No","Mega Man X3 100%"
"13524","/tracker/donor/24000/18",2016-07-08 15:54:11,15,"Yes","Mega Man X3 100%"
"13525","/tracker/donor/323486/18",2016-07-08 15:54:09,25,"Yes","Mega Man X3 100%"
"13526","/tracker/donor/38957/18",2016-07-08 15:54:08,50,"Yes","Mega Man X3 100%"
"13527","/tracker/donor/47812/18",2016-07-08 15:53:58,150,"Yes","Mega Man X3 100%"
"13528",NA,2016-07-08 15:53:58,20,"Yes","Mega Man X3 100%"
"13529","/tracker/donor/320340/18",2016-07-08 15:53:55,10,"Yes","Mega Man X3 100%"
"13530","/tracker/donor/312872/18",2016-07-08 15:53:52,50,"Yes","Mega Man X3 100%"
"13531","/tracker/donor/33580/18",2016-07-08 15:53:37,25,"Yes","Mega Man X3 100%"
"13532","/tracker/donor/291013/18",2016-07-08 15:53:36,15,"Yes","Mega Man X3 100%"
"13533",NA,2016-07-08 15:53:34,10,"No","Mega Man X3 100%"
"13534","/tracker/donor/261634/18",2016-07-08 15:53:27,30,"Yes","Mega Man X3 100%"
"13535",NA,2016-07-08 15:53:25,5,"Yes","Mega Man X3 100%"
"13536","/tracker/donor/319234/18",2016-07-08 15:53:23,25,"Yes","Mega Man X3 100%"
"13537","/tracker/donor/323483/18",2016-07-08 15:53:04,5,"Yes","Mega Man X3 100%"
"13538","/tracker/donor/323478/18",2016-07-08 15:52:26,10,"Yes","Mega Man Zero 2 Any%"
"13539",NA,2016-07-08 15:52:21,50,"No","Mega Man Zero 2 Any%"
"13540","/tracker/donor/323481/18",2016-07-08 15:52:19,5,"Yes","Mega Man Zero 2 Any%"
"13541","/tracker/donor/308597/18",2016-07-08 15:52:10,5,"Yes","Mega Man Zero 2 Any%"
"13542","/tracker/donor/323480/18",2016-07-08 15:52:10,50,"Yes","Mega Man Zero 2 Any%"
"13543","/tracker/donor/323479/18",2016-07-08 15:51:46,50,"Yes","Mega Man Zero 2 Any%"
"13544","/tracker/donor/323482/18",2016-07-08 15:51:45,5,"Yes","Mega Man Zero 2 Any%"
"13545","/tracker/donor/323475/18",2016-07-08 15:51:36,15,"Yes","Mega Man Zero 2 Any%"
"13546","/tracker/donor/16943/18",2016-07-08 15:51:34,343,"Yes","Mega Man Zero 2 Any%"
"13547","/tracker/donor/316585/18",2016-07-08 15:51:11,10,"Yes","Mega Man Zero 2 Any%"
"13548",NA,2016-07-08 15:51:09,50,"Yes","Mega Man Zero 2 Any%"
"13549",NA,2016-07-08 15:50:57,5,"Yes","Mega Man Zero 2 Any%"
"13550","/tracker/donor/323476/18",2016-07-08 15:50:55,20,"Yes","Mega Man Zero 2 Any%"
"13551",NA,2016-07-08 12:47:24,5,"Yes","Super Mario Bros. 3 100%"
"13552","/tracker/donor/323240/18",2016-07-08 12:47:23,20,"No","Super Mario Bros. 3 100%"
"13553","/tracker/donor/3371/18",2016-07-08 12:47:11,5,"Yes","Super Mario Bros. 3 100%"
"13554","/tracker/donor/296012/18",2016-07-08 12:46:25,50,"Yes","Super Mario Bros. 3 100%"
"13555","/tracker/donor/319619/18",2016-07-08 12:46:17,10,"Yes","Super Mario Bros. 3 100%"
"13556","/tracker/donor/323237/18",2016-07-08 12:46:05,5,"Yes","Super Mario Bros. 3 100%"
"13557",NA,2016-07-08 12:46:03,5,"Yes","Super Mario Bros. 3 100%"
"13558","/tracker/donor/47636/18",2016-07-08 12:45:52,50,"Yes","Super Mario Bros. 3 100%"
"13559",NA,2016-07-08 12:45:35,50,"No","Super Mario Bros. 3 100%"
"13560","/tracker/donor/317221/18",2016-07-08 12:45:26,40,"Yes","Super Mario Bros. 3 100%"
"13561","/tracker/donor/50778/18",2016-07-08 12:45:11,7.77,"Yes","Super Mario Bros. 3 100%"
"13562","/tracker/donor/307155/18",2016-07-08 12:44:53,100,"Yes","Super Mario Bros. 3 100%"
"13563",NA,2016-07-08 12:44:09,25,"No","Super Mario Bros. 3 100%"
"13564",NA,2016-07-08 12:44:08,10,"No","Super Mario Bros. 3 100%"
"13565","/tracker/donor/36151/18",2016-07-08 12:44:01,10,"Yes","Super Mario Bros. 3 100%"
"13566",NA,2016-07-08 12:43:38,10,"No","Super Mario Bros. 3 100%"
"13567","/tracker/donor/323235/18",2016-07-08 12:42:34,15,"Yes","Super Mario Bros. 3 100%"
"13568","/tracker/donor/19913/18",2016-07-08 12:41:48,12.95,"Yes","Super Mario Bros. 3 100%"
"13569","/tracker/donor/47896/18",2016-07-08 12:41:31,100,"Yes","Super Mario Bros. 3 100%"
"13570","/tracker/donor/323232/18",2016-07-08 12:41:14,50,"Yes","Super Mario Bros. 3 100%"
"13571",NA,2016-07-08 12:41:09,10,"Yes","Super Mario Bros. 3 100%"
"13572","/tracker/donor/323234/18",2016-07-08 12:39:16,10.16,"Yes","Super Mario Bros. 3 100%"
"13573","/tracker/donor/266513/18",2016-07-08 12:38:58,10,"Yes","Super Mario Bros. 3 100%"
"13574","/tracker/donor/323230/18",2016-07-08 12:38:25,6,"Yes","Super Mario Bros. 3 100%"
"13575","/tracker/donor/321429/18",2016-07-08 12:38:25,20,"Yes","Super Mario Bros. 3 100%"
"13576","/tracker/donor/53794/18",2016-07-08 12:38:21,25,"Yes","Super Mario Bros. 3 100%"
"13577","/tracker/donor/321820/18",2016-07-08 12:37:42,50,"Yes","Super Mario Bros. 3 100%"
"13578","/tracker/donor/323231/18",2016-07-08 12:37:35,5,"Yes","Super Mario Bros. 3 100%"
"13579","/tracker/donor/313979/18",2016-07-08 12:37:27,5,"Yes","Super Mario Bros. 3 100%"
"13580","/tracker/donor/30152/18",2016-07-08 12:36:16,20,"Yes","Super Mario Bros. 3 100%"
"13581","/tracker/donor/323229/18",2016-07-08 12:35:24,20,"Yes","Super Mario Bros. 3 100%"
"13582",NA,2016-07-08 12:35:05,50,"Yes","Super Mario Bros. 3 100%"
"13583",NA,2016-07-08 12:35:02,20,"No","Super Mario Bros. 3 100%"
"13584","/tracker/donor/287879/18",2016-07-08 12:34:50,25,"Yes","Super Mario Bros. 3 100%"
"13585","/tracker/donor/21179/18",2016-07-08 12:34:42,10,"Yes","Super Mario Bros. 3 100%"
"13586",NA,2016-07-08 12:34:18,50,"No","Super Mario Bros. 3 100%"
"13587","/tracker/donor/301297/18",2016-07-08 12:34:17,25,"Yes","Super Mario Bros. 3 100%"
"13588","/tracker/donor/37410/18",2016-07-08 12:33:55,30,"Yes","Super Mario Bros. 3 100%"
"13589","/tracker/donor/316425/18",2016-07-08 12:33:18,50,"Yes","Super Mario Bros. 3 100%"
"13590","/tracker/donor/44619/18",2016-07-08 12:33:16,100,"Yes","Super Mario Bros. 3 100%"
"13591","/tracker/donor/323227/18",2016-07-08 12:32:51,5,"Yes","Super Mario Bros. 3 100%"
"13592","/tracker/donor/323226/18",2016-07-08 12:31:32,20,"Yes","Super Mario Bros. 3 100%"
