"","time","amount","comment","donorURI","run"
"143",2017-01-15 09:50:14,20,"No","/tracker/donor/348073/19","NA"
"144",2017-01-15 09:45:55,10,"Yes","/tracker/donor/348072/19","NA"
"145",2017-01-15 09:37:47,10,"Yes",NA,"NA"
"146",2017-01-15 09:30:09,20,"No","/tracker/donor/348070/19","NA"
"147",2017-01-15 09:29:44,10,"No",NA,"NA"
"148",2017-01-15 09:04:29,100,"No","/tracker/donor/348069/19","NA"
"149",2017-01-15 08:46:29,30,"No",NA,"NA"
"150",2017-01-15 08:27:41,20,"Yes","/tracker/donor/27584/19","NA"
"151",2017-01-15 08:04:32,15,"No",NA,"NA"
"152",2017-01-15 07:35:06,5,"No","/tracker/donor/348066/19","NA"
"153",2017-01-15 07:31:19,20,"No",NA,"NA"
"154",2017-01-15 00:15:35,5,"No",NA,"NA"
"155",2017-01-15 00:15:34,15,"No","/tracker/donor/35006/19","NA"
"156",2017-01-15 00:15:30,5,"Yes",NA,"NA"
"157",2017-01-15 00:15:23,20,"No",NA,"NA"
"158",2017-01-15 00:15:21,25,"No","/tracker/donor/314663/19","NA"
"159",2017-01-15 00:15:11,10,"Yes",NA,"NA"
"160",2017-01-15 00:15:09,7.77,"Yes","/tracker/donor/39942/19","NA"
"161",2017-01-15 00:14:39,20,"Yes","/tracker/donor/348006/19","NA"
"162",2017-01-15 00:14:11,10,"Yes",NA,"NA"
"163",2017-01-15 00:14:05,10,"No",NA,"NA"
"164",2017-01-15 00:13:19,5,"Yes",NA,"NA"
"165",2017-01-15 00:13:19,20,"No",NA,"NA"
"166",2017-01-15 00:13:13,125,"No",NA,"NA"
"167",2017-01-15 07:27:59,45,"No","/tracker/donor/17287/19","NA"
"168",2017-01-15 07:23:43,5,"Yes",NA,"NA"
"169",2017-01-15 07:10:23,10,"Yes",NA,"NA"
"170",2017-01-15 07:01:04,40,"No","/tracker/donor/293120/19","NA"
"171",2017-01-15 06:47:07,75,"Yes","/tracker/donor/348062/19","NA"
"172",2017-01-15 06:29:58,30,"Yes","/tracker/donor/328228/19","NA"
"173",2017-01-15 05:43:32,10,"No",NA,"NA"
"174",2017-01-15 05:32:00,5,"Yes",NA,"NA"
"175",2017-01-15 05:22:27,50,"No",NA,"NA"
"176",2017-01-15 05:20:28,15,"Yes","/tracker/donor/348060/19","NA"
"177",2017-01-15 04:57:30,100,"Yes","/tracker/donor/348059/19","NA"
"178",2017-01-15 04:56:42,10,"No","/tracker/donor/27639/19","NA"
"179",2017-01-15 04:41:46,35,"No","/tracker/donor/332221/19","NA"
"180",2017-01-15 00:13:06,200,"Yes",NA,"NA"
"181",2017-01-15 00:13:04,75,"Yes","/tracker/donor/16837/19","NA"
"182",2017-01-15 00:13:01,125,"No",NA,"NA"
"183",2017-01-15 00:12:47,10,"No",NA,"NA"
"184",2017-01-15 00:12:40,25,"Yes","/tracker/donor/331882/19","NA"
"185",2017-01-15 00:12:28,100,"Yes",NA,"NA"
"186",2017-01-15 00:11:45,125,"Yes","/tracker/donor/23956/19","NA"
"187",2017-01-15 00:11:27,50,"No",NA,"NA"
"188",2017-01-15 00:10:39,15,"No","/tracker/donor/2879/19","NA"
"189",2017-01-15 04:39:58,20,"Yes","/tracker/donor/262774/19","NA"
"190",2017-01-15 04:35:41,5,"Yes","/tracker/donor/348058/19","NA"
"191",2017-01-15 04:31:29,19.99,"No",NA,"NA"
"192",2017-01-15 04:19:14,10,"Yes","/tracker/donor/297539/19","NA"
"193",2017-01-15 03:58:11,20,"No","/tracker/donor/348056/19","NA"
"194",2017-01-15 03:54:18,20,"No",NA,"NA"
"195",2017-01-15 03:32:34,5,"No",NA,"NA"
"196",2017-01-15 03:31:23,5,"No",NA,"NA"
"197",2017-01-15 03:12:59,10,"No","/tracker/donor/348054/19","NA"
"198",2017-01-15 02:59:15,23,"Yes","/tracker/donor/43275/19","NA"
"199",2017-01-15 00:10:34,19.27,"Yes",NA,"NA"
"200",2017-01-15 00:10:15,25,"No","/tracker/donor/258231/19","NA"
"201",2017-01-15 00:00:07,50,"No","/tracker/donor/51095/19","Undertale True Pacifist Ending"
"202",2017-01-15 00:00:04,50,"No",NA,"Undertale True Pacifist Ending"
"203",2017-01-15 00:00:04,8,"Yes","/tracker/donor/347952/19","Undertale True Pacifist Ending"
"204",2017-01-15 00:00:03,20,"No","/tracker/donor/16213/19","Undertale True Pacifist Ending"
"205",2017-01-14 23:59:49,100,"No",NA,"Undertale True Pacifist Ending"
"206",2017-01-14 23:59:38,10,"No","/tracker/donor/324810/19","Undertale True Pacifist Ending"
"207",2017-01-14 23:59:32,20,"No","/tracker/donor/347951/19","Undertale True Pacifist Ending"
"208",2017-01-14 23:59:30,10,"No","/tracker/donor/347950/19","Undertale True Pacifist Ending"
"209",2017-01-14 23:59:20,15,"No","/tracker/donor/347949/19","Undertale True Pacifist Ending"
"210",2017-01-14 23:59:20,15,"Yes","/tracker/donor/292602/19","Undertale True Pacifist Ending"
"211",2017-01-14 23:59:19,10,"Yes",NA,"Undertale True Pacifist Ending"
"212",2017-01-14 23:58:59,25,"Yes","/tracker/donor/347947/19","Undertale True Pacifist Ending"
"213",2017-01-14 23:58:47,10,"No",NA,"Undertale True Pacifist Ending"
"214",2017-01-14 23:58:33,100,"No","/tracker/donor/36170/19","Undertale True Pacifist Ending"
"215",2017-01-14 23:58:33,10,"Yes","/tracker/donor/347946/19","Undertale True Pacifist Ending"
"216",2017-01-14 23:58:06,15,"Yes","/tracker/donor/347944/19","Undertale True Pacifist Ending"
"217",2017-01-14 23:58:05,75,"Yes",NA,"Undertale True Pacifist Ending"
"218",2017-01-14 23:57:53,10,"Yes",NA,"Undertale True Pacifist Ending"
"219",2017-01-14 23:57:47,5,"Yes","/tracker/donor/306372/19","Undertale True Pacifist Ending"
"220",2017-01-14 23:57:42,50,"No",NA,"Undertale True Pacifist Ending"
"221",2017-01-14 23:57:42,25,"No",NA,"Undertale True Pacifist Ending"
"222",2017-01-14 23:57:33,5,"Yes","/tracker/donor/331032/19","Undertale True Pacifist Ending"
"223",2017-01-14 23:57:21,10,"No","/tracker/donor/312137/19","Undertale True Pacifist Ending"
"224",2017-01-14 23:57:13,50,"Yes","/tracker/donor/347936/19","Undertale True Pacifist Ending"
"225",2017-01-14 23:57:12,5,"Yes","/tracker/donor/347934/19","Undertale True Pacifist Ending"
"226",2017-01-14 23:57:01,50,"Yes","/tracker/donor/291547/19","Undertale True Pacifist Ending"
"227",2017-01-14 23:57:00,5,"Yes","/tracker/donor/347935/19","Undertale True Pacifist Ending"
"228",2017-01-14 23:56:38,25,"No",NA,"Undertale True Pacifist Ending"
"229",2017-01-14 23:56:37,10,"No",NA,"Undertale True Pacifist Ending"
"230",2017-01-14 23:56:35,10,"Yes",NA,"Undertale True Pacifist Ending"
"231",2017-01-14 23:56:31,50,"Yes","/tracker/donor/347939/19","Undertale True Pacifist Ending"
"232",2017-01-14 23:56:27,NA,"No",NA,"Undertale True Pacifist Ending"
"233",2017-01-14 23:56:21,10,"Yes",NA,"Undertale True Pacifist Ending"
"234",2017-01-14 23:56:20,5,"No",NA,"Undertale True Pacifist Ending"
"235",2017-01-14 23:56:05,50,"Yes","/tracker/donor/10549/19","Undertale True Pacifist Ending"
"236",2017-01-14 23:55:55,75,"No",NA,"Undertale True Pacifist Ending"
"237",2017-01-14 23:55:55,10,"Yes","/tracker/donor/315784/19","Undertale True Pacifist Ending"
"238",2017-01-14 23:55:47,10,"Yes","/tracker/donor/347943/19","Undertale True Pacifist Ending"
"239",2017-01-14 23:55:36,15,"No","/tracker/donor/266000/19","Undertale True Pacifist Ending"
"240",2017-01-14 23:55:36,100,"Yes","/tracker/donor/320944/19","Undertale True Pacifist Ending"
"241",2017-01-14 23:55:28,125.01,"Yes","/tracker/donor/35096/19","Undertale True Pacifist Ending"
